Plate:,CatB S1-8 & S33-41 t=24,1.3,PlateFormat,Kinetic,Fluorescence,FALSE,Raw,FALSE,16,1800,120,,,,1,460,1,9,96,360,Automatic,455,,,6,Medium,,,1,8,,0
,Temperature(Â¡C),1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
0:00:00,23.4,2254.922,1842.306,1872.553,1689.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2195.008,1803.211,1736.51,1698.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:02:00,23.5,2343.58,1903.978,1933.736,1769.879,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2248.472,1858.705,1785.939,1774.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group: Unknowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Wells,Value,R,Result,MeanResult,SD,CV,,,,,,,,,,,,,,,,,,,,,,,,,
1,A1,0.791,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,A2,0.684,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
2,B1,0.84,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,B2,0.61,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
3,A3,0.631,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,A4,0.718,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
4,B3,0.73,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,B4,0.754,R, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Column,Formula Name,Formula,Precision,Notation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sample,!SampleNames,2 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wells,!WellIDs,2 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Value,!WellValues,3 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,R,"If (Value>=MinStd@Standards and Value<=MaxStd@Standards,"""",""R"")",3 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Result,"InterpX(Std@StandardCurve,Value)",3 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MeanResult,Average(Result),3 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SD,Stdev(Result),3 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CV,Cv(Result),1 decimal places,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Summaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InRange,R - Outside standard range,,,0 decimal places,Numeric Notation ,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
